Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region,DeathRate,Recovered Rate,ActiveRate
Liberia,1167,72,646,449,5,0,5,6.17,55.36,11.15,1107,60,5.42,Africa,0.061696658,0.553556127,0.384747215
Libya,2827,64,577,2186,158,4,24,2.26,20.41,11.09,1980,847,42.78,Eastern Mediterranean,0.02263884,0.20410329,0.773257871
Liechtenstein,86,1,81,4,0,0,0,1.16,94.19,1.23,86,0,0,Europe,0.011627907,0.941860465,0.046511628
Lithuania,2019,80,1620,319,11,0,4,3.96,80.24,4.94,1947,72,3.7,Europe,0.039623576,0.802377415,0.157999009
Luxembourg,6321,112,4825,1384,49,0,178,1.77,76.33,2.32,5639,682,12.09,Europe,0.017718715,0.763328587,0.218952697
Madagascar,9690,91,6260,3339,395,6,681,0.94,64.6,1.45,7153,2537,35.47,Africa,0.009391125,0.646026832,0.344582043
Malawi,3664,99,1645,1920,24,0,6,2.7,44.9,6.02,2992,672,22.46,Africa,0.027019651,0.448962882,0.524017467
Malaysia,8904,124,8601,179,7,0,1,1.39,96.6,1.44,8800,104,1.18,Western Pacific,0.013926325,0.96597035,0.020103324
Maldives,3369,15,2547,807,67,0,19,0.45,75.6,0.59,2999,370,12.34,South-East Asia,0.00445236,0.756010686,0.239536955
Mali,2513,124,1913,476,3,1,2,4.93,76.12,6.48,2475,38,1.54,Africa,0.049343414,0.761241544,0.189415042
Malta,701,9,665,27,1,0,0,1.28,94.86,1.35,677,24,3.55,Europe,0.012838802,0.948644793,0.038516405
Mauritania,6208,156,4653,1399,37,0,223,2.51,74.95,3.35,5923,285,4.81,Africa,0.025128866,0.749516753,0.225354381
Mauritius,344,10,332,2,0,0,0,2.91,96.51,3.01,343,1,0.29,Africa,0.029069767,0.965116279,0.005813953
Mexico,395489,44022,303810,47657,4973,342,8588,11.13,76.82,14.49,349396,46093,13.19,Americas,0.111310302,0.768188243,0.120501455
Moldova,23154,748,16154,6252,120,13,245,3.23,69.77,4.63,21115,2039,9.66,Europe,0.032305433,0.697676427,0.270018139
Monaco,116,4,104,8,0,0,0,3.45,89.66,3.85,109,7,6.42,Europe,0.034482759,0.896551724,0.068965517
Mongolia,289,0,222,67,1,0,4,0,76.82,0,287,2,0.7,Western Pacific,0,0.76816609,0.23183391
Montenegro,2893,45,809,2039,94,2,70,1.56,27.96,5.56,2188,705,32.22,Europe,0.015554787,0.279640512,0.704804701
Morocco,20887,316,16553,4018,609,3,115,1.51,79.25,1.91,17562,3325,18.93,Eastern Mediterranean,0.015129028,0.792502514,0.192368459
Mozambique,1701,11,0,1690,32,0,0,0.65,0,inf,1507,194,12.87,Africa,0.006466784,0,0.993533216
Namibia,1843,8,101,1734,68,0,26,0.43,5.48,7.92,1344,499,37.13,Africa,0.004340749,0.054801953,0.940857298
Nepal,18752,48,13754,4950,139,3,626,0.26,73.35,0.35,17844,908,5.09,South-East Asia,0.002559727,0.73346843,0.263971843
Netherlands,53413,6160,189,47064,419,1,0,11.53,0.35,3259.26,52132,1281,2.46,Europe,0.115327729,0.003538464,0.881133806
New Zealand,1557,22,1514,21,1,0,1,1.41,97.24,1.45,1555,2,0.13,Western Pacific,0.014129737,0.972382787,0.013487476
Nicaragua,3439,108,2492,839,0,0,0,3.14,72.46,4.33,3147,292,9.28,Americas,0.031404478,0.724629253,0.243966269
Niger,1132,69,1027,36,0,0,0,6.1,90.72,6.72,1105,27,2.44,Africa,0.060954064,0.907243816,0.03180212
Nigeria,41180,860,18203,22117,648,2,829,2.09,44.2,4.72,37225,3955,10.62,Africa,0.020883924,0.442034968,0.537081107
North Macedonia,10213,466,5564,4183,127,6,137,4.56,54.48,8.38,9249,964,10.42,Europe,0.045628121,0.544795848,0.409576031
Norway,9132,255,8752,125,15,0,0,2.79,95.84,2.91,9034,98,1.08,Europe,0.027923784,0.958388086,0.01368813
Oman,77058,393,57028,19637,1053,9,1729,0.51,74.01,0.69,68400,8658,12.66,Eastern Mediterranean,0.005100055,0.740065924,0.254834021
Pakistan,274289,5842,241026,27421,1176,20,3592,2.13,87.87,2.42,266096,8193,3.08,Eastern Mediterranean,0.021298703,0.878730099,0.099971198
Panama,61442,1322,35086,25034,1146,28,955,2.15,57.1,3.77,54426,7016,12.89,Americas,0.021516227,0.571042609,0.407441164
Papua New Guinea,62,0,11,51,0,0,0,0,17.74,0,19,43,226.32,Western Pacific,0,0.177419355,0.822580645
Paraguay,4548,43,2905,1600,104,2,111,0.95,63.87,1.48,3748,800,21.34,Americas,0.009454705,0.638742304,0.35180299
Peru,389717,18418,272547,98752,13756,575,4697,4.73,69.93,6.76,357681,32036,8.96,Americas,0.047259935,0.699345936,0.25339413
Philippines,82040,1945,26446,53649,1592,13,336,2.37,32.24,7.35,68898,13142,19.07,Western Pacific,0.023707947,0.322354949,0.653937104
Poland,43402,1676,32856,8870,337,5,103,3.86,75.7,5.1,40383,3019,7.48,Europe,0.038615732,0.757015806,0.204368462
Portugal,50299,1719,35375,13205,135,2,158,3.42,70.33,4.86,48771,1528,3.13,Europe,0.03417563,0.7032943,0.26253007
Qatar,109597,165,106328,3104,292,0,304,0.15,97.02,0.16,107037,2560,2.39,Eastern Mediterranean,0.001505516,0.970172541,0.028321943
Romania,45902,2206,25794,17902,1104,19,151,4.81,56.19,8.55,38139,7763,20.35,Europe,0.048058908,0.561936299,0.390004793
Russia,816680,13334,602249,201097,5607,85,3077,1.63,73.74,2.21,776212,40468,5.21,Europe,0.01632708,0.737435715,0.246237204
Rwanda,1879,5,975,899,58,0,57,0.27,51.89,0.51,1629,250,15.35,Africa,0.00266099,0.518893028,0.478445982
Saint Kitts and Nevis,17,0,15,2,0,0,0,0,88.24,0,17,0,0,Americas,0,0.882352941,0.117647059
Saint Lucia,24,0,22,2,0,0,0,0,91.67,0,23,1,4.35,Americas,0,0.916666667,0.083333333
Saint Vincent and the Grenadines,52,0,39,13,0,0,0,0,75,0,50,2,4,Americas,0,0.75,0.25
San Marino,699,42,657,0,0,0,0,6.01,93.99,6.39,699,0,0,Europe,0.060085837,0.939914163,0
Sao Tome and Principe,865,14,734,117,2,0,38,1.62,84.86,1.91,746,119,15.95,Africa,0.016184971,0.848554913,0.135260116
Saudi Arabia,268934,2760,222936,43238,1993,27,2613,1.03,82.9,1.24,253349,15585,6.15,Eastern Mediterranean,0.010262741,0.828961753,0.160775506
Senegal,9764,194,6477,3093,83,3,68,1.99,66.34,3,8948,816,9.12,Africa,0.019868906,0.663355182,0.316775912
Serbia,24141,543,0,23598,411,9,0,2.25,0,inf,21253,2888,13.59,Europe,0.022492854,0,0.977507146
Seychelles,114,0,39,75,0,0,0,0,34.21,0,108,6,5.56,Africa,0,0.342105263,0.657894737
Sierra Leone,1783,66,1317,400,0,0,4,3.7,73.86,5.01,1711,72,4.21,Africa,0.037016265,0.738642737,0.224340998
Singapore,50838,27,45692,5119,469,0,171,0.05,89.88,0.06,48035,2803,5.84,Western Pacific,0.000531099,0.898776506,0.100692395
Slovakia,2181,28,1616,537,2,0,39,1.28,74.09,1.73,1980,201,10.15,Europe,0.012838148,0.740944521,0.246217331
Slovenia,2087,116,1733,238,5,0,55,5.56,83.04,6.69,1953,134,6.86,Europe,0.055582175,0.830378534,0.114039291
Somalia,3196,93,1543,1560,18,0,22,2.91,48.28,6.03,3130,66,2.11,Eastern Mediterranean,0.029098874,0.482790989,0.488110138
South Africa,452529,7067,274925,170537,7096,298,9848,1.56,60.75,2.57,373628,78901,21.12,Africa,0.015616679,0.607530125,0.376853196
South Korea,14203,300,13007,896,28,1,102,2.11,91.58,2.31,13816,387,2.8,Western Pacific,0.021122298,0.915792438,0.063085264
South Sudan,2305,46,1175,1084,43,1,0,2,50.98,3.91,2211,94,4.25,Africa,0.019956616,0.509761388,0.470281996
Spain,272421,28432,150376,93613,0,0,0,10.44,55.2,18.91,264836,7585,2.86,Europe,0.104367872,0.551998561,0.343633567
Sri Lanka,2805,11,2121,673,23,0,15,0.39,75.61,0.52,2730,75,2.75,South-East Asia,0.003921569,0.756149733,0.239928699
Sudan,11424,720,5939,4765,39,3,49,6.3,51.99,12.12,10992,432,3.93,Eastern Mediterranean,0.06302521,0.519870448,0.417104342
Suriname,1483,24,925,534,44,1,35,1.62,62.37,2.59,1079,404,37.44,Americas,0.016183412,0.623735671,0.360080917
Sweden,79395,5700,0,73695,398,3,0,7.18,0,inf,78048,1347,1.73,Europe,0.071792934,0,0.928207066
Switzerland,34477,1978,30900,1599,65,1,200,5.74,89.62,6.4,33634,843,2.51,Europe,0.057371581,0.896249674,0.046378745
Syria,674,40,0,634,24,2,0,5.93,0,inf,522,152,29.12,Eastern Mediterranean,0.059347181,0,0.940652819
Taiwan*,462,7,440,15,4,0,0,1.52,95.24,1.59,451,11,2.44,Western Pacific,0.015151515,0.952380952,0.032467532
Tajikistan,7235,60,6028,1147,43,1,58,0.83,83.32,1,6921,314,4.54,Europe,0.00829302,0.83317208,0.1585349
Tanzania,509,21,183,305,0,0,0,4.13,35.95,11.48,509,0,0,Africa,0.041257367,0.359528487,0.599214145
Thailand,3297,58,3111,128,6,0,2,1.76,94.36,1.86,3250,47,1.45,South-East Asia,0.01759175,0.943585077,0.038823173
Timor-Leste,24,0,0,24,0,0,0,0,0,0,24,0,0,South-East Asia,0,0,1
Togo,874,18,607,249,6,0,8,2.06,69.45,2.97,783,91,11.62,Africa,0.020594966,0.694508009,0.284897025
Trinidad and Tobago,148,8,128,12,1,0,0,5.41,86.49,6.25,137,11,8.03,Americas,0.054054054,0.864864865,0.081081081
Tunisia,1455,50,1157,248,3,0,15,3.44,79.52,4.32,1381,74,5.36,Eastern Mediterranean,0.034364261,0.795189003,0.170446735
Turkey,227019,5630,210469,10920,919,17,982,2.48,92.71,2.67,220572,6447,2.92,Europe,0.024799686,0.927098613,0.048101701
US,4290259,148011,1325804,2816444,56336,1076,27941,3.45,30.9,11.16,3834677,455582,11.88,Americas,0.034499316,0.309026565,0.65647412
Uganda,1128,2,986,140,13,0,4,0.18,87.41,0.2,1069,59,5.52,Africa,0.00177305,0.874113475,0.124113475
Ukraine,67096,1636,37202,28258,835,11,317,2.44,55.45,4.4,60767,6329,10.42,Europe,0.024382974,0.554459282,0.421157744
United Arab Emirates,59177,345,52510,6322,264,1,328,0.58,88.73,0.66,57193,1984,3.47,Eastern Mediterranean,0.005829968,0.887337986,0.106832046
United Kingdom,301708,45844,1437,254427,688,7,3,15.19,0.48,3190.26,296944,4764,1.6,Europe,0.151948241,0.004762883,0.843288875
Uruguay,1202,35,951,216,10,1,3,2.91,79.12,3.68,1064,138,12.97,Americas,0.029118136,0.791181364,0.179700499
Uzbekistan,21209,121,11674,9414,678,5,569,0.57,55.04,1.04,17149,4060,23.67,Europe,0.005705125,0.550426706,0.443868169
Venezuela,15988,146,9959,5883,525,4,213,0.91,62.29,1.47,12334,3654,29.63,Americas,0.009131849,0.622904679,0.367963473
Vietnam,431,0,365,66,11,0,0,0,84.69,0,384,47,12.24,Western Pacific,0,0.846867749,0.153132251
West Bank and Gaza,10621,78,3752,6791,152,2,0,0.73,35.33,2.08,8916,1705,19.12,Eastern Mediterranean,0.007343941,0.353262405,0.639393654
Western Sahara,10,1,8,1,0,0,0,10,80,12.5,10,0,0,Africa,0.1,0.8,0.1
Yemen,1691,483,833,375,10,4,36,28.56,49.26,57.98,1619,72,4.45,Eastern Mediterranean,0.285629805,0.492607924,0.221762271
Zambia,4552,140,2815,1597,71,1,465,3.08,61.84,4.97,3326,1226,36.86,Africa,0.030755712,0.61840949,0.350834798
Zimbabwe,2704,36,542,2126,192,2,24,1.33,20.04,6.64,1713,991,57.85,Africa,0.013313609,0.200443787,0.786242604
